ΕΛΛΗΝΙΚΗ ΟΝΟΜΑΤΟΛΟΓΙΑ ΚΑΙ ΚΩΔΙΚΟΠΟΙΗΣΗ ΤΩΝ ΙΑΤΡΙΚΩΝ ΠΡΑΞΕΩΝ;;;;;;;
Α/α;ΚΩΔΙΚΟΣ;ΤΕΛΙΚΕΣ ΟΝΟΜΑΣΙΕΣ ΙΑΤΡΙΚΩΝ ΠΡΑΞΕΩΝ;;;;;
5039;X681609;ΕΓΚΡΑΤΗΣ ΕΚΤΡΟΠΗ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΑΝΑΣΤΟΜΩΣΗΣ ΕΝΤΕΡΟΥ ΜΕ ΧΡΗΣΗ ΟΠΟΙΟΥΔΗΠΟΤΕ ΤΜΗΜΑΤΟΣ ΛΕΠΤΟΥ ΚΑΙ/Ή ΠΑΧΕΟΣ ΕΝΤΕΡΟΥ (ΕΝΤΕΡΟΚΥΣΤΕΟΠΛΑΣΤΙΚΗ ΚΑΤΑ KOCK POUCH Ή CAMEY);;;;;
5040;X681619;ΜΗ-ΕΚΤΡΟΠΗ ΟΥΡΩΝ (Π.Χ. ΑΝΑΣΤΟΜΩΣΗ ΟΥΡΗΤΗΡΑ-ΕΙΛΕΟΥ, ΑΝΑΣΤΟΜΩΣΗ ΤΟΥ ΟΥΡΗΤΗΡΑ ΜΕΤΑ ΤΟΥ ΣΙΓΜΟΕΙΔΟΥΣ Ή ΟΥΡΗΤΗΡΟΕΝΤΕΡΟΣΤΟΜΙΑ ΜΕ ΟΥΡΗΤΗΡΟΟΥΡΗΤΗΡΟΣΤΟΜΙΑ Ή ΧΕΙΡΟΥΡΓΙΚΗ ΜΕΤΑΦΟΡΑ ΤΟΥ ΟΥΡΗΤΗΡΑ ΣΕ ΔΙΑΦΟΡΕΤΙΚΗ ΘΕΣΗ ΣΤΗΝ ΟΥΡΟΔΟΧΟ ΚΥΣΤΗ);;;;;
5041;X681639;ΑΝΤΙΚΑΤΑΣΤΑΣΗ ΟΛΟΥ Ή ΤΜΗΜΑΤΟΣ ΤΟΥ ΟΥΡΗΤΗΡΑ ΑΠΟ ΤΜΗΜΑ ΕΝΤΕΡΟΥ, ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΑΝΑΣΤΟΜΩΣΗ ΕΝΤΕΡΟΥ;;;;;
5042;X681649;ΔΕΡΜΑΤΙΚΗ ΑΝΑΣΤΟΜΩΣΗ ΣΚΩΛΗΚΟΕΙΔΟΥΣ ΑΠΟΦΥΣΗΣ-ΕΙΛΕΟΚΥΣΤΕΩΣ;;;;;
5043;X681679;ΟΥΡΗΤΗΡΟΔΕΡΜΟΣΤΟΜΙΑ;;;;;
5044;X681759;ΟΥΡΗΤΗΡΟΡΡΑΦΗ, ΣΥΡΡΑΦΗ ΤΟΥ ΟΥΡΗΤΗΡΑ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ);;;;;
5045;X681799;ΕΚΤΟΜΗ ΟΥΡΗΤΗΡΟ-ΔΕΡΜΑΤΙΚΟΥ ΣΥΡΙΓΓΙΟΥ;;;;;
5046;X681819;ΕΚΤΟΜΗ ΟΥΡΗΤΗΡΟΣΠΛΑΓΧΝΙΟΥ ΣΥΡΙΓΓΙΟΥ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΣΠΛΑΧΝΙΚΗΣ ΑΠΟΚΑΤΑΣΤΑΣΗΣ);;;;;
5047;X681839;ΑΠΟΛΙΝΩΣΗ ΤΟΥ ΟΥΡΗΤΗΡΑ;;;;;
5048;X681849;ΛΑΠΑΡΟΣΚΟΠΗΣΗ, ΧΕΙΡΟΥΡΓΙΚΗ, ΟΥΡΗΤΗΡΟΛΙΘΟΤΟΜΙΑ;;;;;
5049;X681853;ΛΑΠΑΡΟΣΚΟΠΗΣΗ, ΧΕΙΡΟΥΡΓΙΚΗ, ΧΕΙΡΟΥΡΓΙΚΗ ΜΕΤΑΦΟΡΑ ΤΟΥ ΟΥΡΗΤΗΡΑ ΣΕ ΔΙΑΦΟΡΕΤΙΚΗ ΘΕΣΗ ΣΤΗΝ ΟΥΡΟΔΟΧΟ ΚΥΣΤΗ ΜΕ ΚΥΣΤΕΟΣΚΟΠΗΣΗ ΚΑΙ  ΤΟΠΟΘΕΤΗΣΗ ΣΤΕΝΤ ΟΥΡΗΤΗΡΑ;;;;;
5050;X681855;ΛΑΠΑΡΟΣΚΟΠΗΣΗ, ΧΕΙΡΟΥΡΓΙΚΗ, ΧΕΙΡΟΥΡΓΙΚΗ ΜΕΤΑΦΟΡΑ ΤΟΥ ΟΥΡΗΤΗΡΑ ΣΕ ΔΙΑΦΟΡΕΤΙΚΗ ΘΕΣΗ ΣΤΗΝ ΟΥΡΟΔΟΧΟ ΚΥΣΤΗ ΧΩΡΙΣ ΚΥΣΤΕΟΣΚΟΠΗΣΗ ΚΑΙ ΤΟΠΟΘΕΤΗΣΗ ΣΤΕΝΤ ΟΥΡΗΤΗΡΑ;;;;;
5051;X681857;ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ ΛΑΠΑΡΟΣΚΟΠΗΣΗΣ, ΟΥΡΗΤΗΡΑΣ;;;;;
5052;X681857.1;ΡΟΜΠΟΤΙΚΗ, ΧΕΙΡΟΥΡΓΙΚΗ, ΟΥΡΗΤΗΡΟΛΙΘΟΤΟΜΙΑ;;;;;
5053;X681857.2;ΡΟΜΠΟΤΙΚΗ, ΧΕΙΡΟΥΡΓΙΚΗ, ΧΕΙΡΟΥΡΓΙΚΗ ΜΕΤΑΦΟΡΑ ΤΟΥ ΟΥΡΗΤΗΡΑ ΣΕ ΔΙΑΦΟΡΕΤΙΚΗ ΘΕΣΗ ΣΤΗΝ ΟΥΡΟΔΟΧΟ ΚΥΣΤΗ ΜΕ ΚΥΣΤΕΟΣΚΟΠΗΣΗ ΚΑΙ  ΤΟΠΟΘΕΤΗΣΗ ΣΤΕΝΤ ΟΥΡΗΤΗΡΑ;;;;;
5054;X681857.3;ΡΟΜΠΟΤΙΚΗ, ΧΕΙΡΟΥΡΓΙΚΗ, ΧΕΙΡΟΥΡΓΙΚΗ ΜΕΤΑΦΟΡΑ ΤΟΥ ΟΥΡΗΤΗΡΑ ΣΕ ΔΙΑΦΟΡΕΤΙΚΗ ΘΕΣΗ ΣΤΗΝ ΟΥΡΟΔΟΧΟ ΚΥΣΤΗ ΧΩΡΙΣ ΚΥΣΤΕΟΣΚΟΠΗΣΗ ΚΑΙ ΤΟΠΟΘΕΤΗΣΗ ΣΤΕΝΤ ΟΥΡΗΤΗΡΑ;;;;;
5055;X681861;ΕΝΔΟΣΚΟΠΗΣΗ ΟΥΡΗΤΗΡΑ ΜΕΣΩ ΤΟΠΟΘΕΤΗΜΕΝΗΣ ΟΥΡΗΤΗΡΟΣΤΟΜΙΑΣ, ΜΕ Ή ΧΩΡΙΣ ΠΛΥΣΗ, ΕΝΣΤΑΛΑΞΗ, Ή ΟΥΡΗΤΗΡΟΠΥΕΛΟΓΡΑΦΙΑ, ΑΝΕΥ ΑΚΤΙΝΟΛΟΓΙΚΗΣ ΥΠΗΡΕΣΙΑΣ,;;;;;
5056;X681865;ΕΝΔΟΣΚΟΠΗΣΗ ΟΥΡΗΤΗΡΑ ΜΕΣΩ ΤΟΠΟΘΕΤΗΜΕΝΗΣ ΟΥΡΗΤΗΡΟΣΤΟΜΙΑΣ, ΜΕ Ή ΧΩΡΙΣ ΠΛΥΣΗ, ΕΝΣΤΑΛΑΞΗ, Ή ΟΥΡΗΤΗΡΟΠΥΕΛΟΓΡΑΦΙΑ, ΑΝΕΥ ΑΚΤΙΝΟΛΟΓΙΚΗΣ ΥΠΗΡΕΣΙΑΣ, ΜΕ ΚΑΘΕΤΗΡΙΑΣΜΟ ΟΥΡΗΤΗΡΑ, ΜΕ Ή ΧΩΡΙΣ ΔΙΑΣΤΟΛΗ ΤΟΥ ΟΥΡΗΤΗΡΑ;;;;;
5057;X681869;ΕΝΔΟΣΚΟΠΗΣΗ ΟΥΡΗΤΗΡΑ ΜΕΣΩ ΤΟΠΟΘΕΤΗΜΕΝΗΣ ΟΥΡΗΤΗΡΟΣΤΟΜΙΑΣ, ΜΕ Ή ΧΩΡΙΣ ΠΛΥΣΗ, ΕΝΣΤΑΛΑΞΗ, Ή ΟΥΡΗΤΗΡΟΠΥΕΛΟΓΡΑΦΙΑ, ΑΝΕΥ ΑΚΤΙΝΟΛΟΓΙΚΗΣ ΥΠΗΡΕΣΙΑΣ, ΜΕ ΒΙΟΨΙΑ;;;;;
5058;X681873;ΕΝΔΟΣΚΟΠΗΣΗ ΟΥΡΗΤΗΡΑ ΜΕΣΩ ΤΟΠΟΘΕΤΗΜΕΝΗΣ ΟΥΡΗΤΗΡΟΣΤΟΜΙΑΣ, ΜΕ Ή ΧΩΡΙΣ ΠΛΥΣΗ, ΕΝΣΤΑΛΑΞΗ, Ή ΟΥΡΗΤΗΡΟΠΥΕΛΟΓΡΑΦΙΑ, ΑΝΕΥ ΑΚΤΙΝΟΛΟΓΙΚΗΣ ΥΠΗΡΕΣΙΑΣ, ΜΕ ΗΛΕΚΤΡΟΘΕΡΜΟΚΑΥΤΗΡΙΑΣΗ ΚΑΙ/Ή ΤΟΜΗ, ΜΕ Ή ΧΩΡΙΣ ΒΙΟΨΙΑ;;;;;
5059;X681881;ΕΝΔΟΣΚΟΠΗΣΗ ΟΥΡΗΤΗΡΑ ΜΕΣΩ ΤΟΠΟΘΕΤΗΜΕΝΗΣ ΟΥΡΗΤΗΡΟΣΤΟΜΙΑΣ, ΜΕ Ή ΧΩΡΙΣ ΠΛΥΣΗ, ΕΝΣΤΑΛΑΞΗ, Ή ΟΥΡΗΤΗΡΟΠΥΕΛΟΓΡΑΦΙΑ, ΑΝΕΥ ΑΚΤΙΝΟΛΟΓΙΚΗΣ ΥΠΗΡΕΣΙΑΣ, ΜΕ ΑΦΑΙΡΕΣΗ ΞΕΝΟΥ ΣΩΜΑΤΟΣ Ή ΛΙΘΟΥ;;;;;
5060;X681899;ΕΝΔΟΣΚΟΠΗΣΗ ΟΥΡΗΤΗΡΑ, ΜΕ Ή ΧΩΡΙΣ ΠΛΥΣΗ, ΕΝΣΤΑΛΑΞΗ, Ή ΟΥΡΗΤΗΡΟΠΥΕΛΟΓΡΑΦΙΑ, ΜΕ ΑΚΤΙΝΟΛΟΓΙΚΗ ΥΠΗΡΕΣΙΑ;;;;;
5061;X681903;ΕΝΔΟΣΚΟΠΗΣΗ ΟΥΡΗΤΗΡΑ, ΜΕ Ή ΧΩΡΙΣ ΠΛΥΣΗ, ΕΝΣΤΑΛΑΞΗ, Ή ΟΥΡΗΤΗΡΟΠΥΕΛΟΓΡΑΦΙΑ, ΜΕ ΑΚΤΙΝΟΛΟΓΙΚΗ ΥΠΗΡΕΣΙΑ, ΜΕ ΚΑΘΕΤΗΡΙΑΣΜΟ ΟΥΡΗΤΗΡΑ, ΜΕ Ή ΧΩΡΙΣ ΔΙΑΣΤΟΛΗ ΤΟΥ ΟΥΡΗΤΗΡΑ;;;;;
5062;X681907;ΕΝΔΟΣΚΟΠΗΣΗ ΟΥΡΗΤΗΡΑ, ΜΕ Ή ΧΩΡΙΣ ΠΛΥΣΗ, ΕΝΣΤΑΛΑΞΗ, Ή ΟΥΡΗΤΗΡΟΠΥΕΛΟΓΡΑΦΙΑ, ΜΕ ΑΚΤΙΝΟΛΟΓΙΚΗ ΥΠΗΡΕΣΙΑ, ΜΕ ΒΙΟΨΙΑ;;;;;
5063;X681911;ΕΝΔΟΣΚΟΠΗΣΗ ΟΥΡΗΤΗΡΑ, ΜΕ Ή ΧΩΡΙΣ ΠΛΥΣΗ, ΕΝΣΤΑΛΑΞΗ, Ή ΟΥΡΗΤΗΡΟΠΥΕΛΟΓΡΑΦΙΑ, ΜΕ ΑΚΤΙΝΟΛΟΓΙΚΗ ΥΠΗΡΕΣΙΑ ΜΕ ΗΛΕΚΤΡΟΘΕΡΜΟΚΑΥΤΗΡΙΑΣΗ ΚΑΙ/Ή ΤΟΜΗ, ΜΕ Ή ΧΩΡΙΣ ΒΙΟΨΙΑ;;;;;
5064;X681919;ΕΝΔΟΣΚΟΠΗΣΗ ΟΥΡΗΤΗΡΑ, ΜΕ Ή ΧΩΡΙΣ ΠΛΥΣΗ, ΕΝΣΤΑΛΑΞΗ, Ή ΟΥΡΗΤΗΡΟΠΥΕΛΟΓΡΑΦΙΑ, ΜΕ ΑΚΤΙΝΟΛΟΓΙΚΗ ΥΠΗΡΕΣΙΑ ΜΕ ΑΦΑΙΡΕΣΗ ΞΕΝΟΥ ΣΩΜΑΤΟΣ Ή ΛΙΘΟΥ;;;;;
5065;X681999;ΚΥΣΤΕΟΤΟΜΙΑ Ή ΚΥΣΤΕΟΣΤΟΜΙΑ, ΜΕ ΗΛΕΚΤΡΟΘΕΡΜΟΚΑΥΤΗΡΙΑΣΗ ΚΑΙ/Ή ΕΙΣΑΓΩΓΗ ΡΑΔΙΕΝΕΡΓΟΥ ΥΛΙΚΟΥ;;;;;
5066;X682019;ΑΝΕΝΕΡΓΟΣ;;;;;
5067;X682039;ΚΥΣΤΕΟΣΤΟΜΙΑ, ΚΥΣΤΕΟΣΤΟΜΙΑ ΜΕ ΠΑΡΟΧΕΤΕΥΣΗ;;;;;
5068;X682049;ΑΝΕΝΕΡΓΟΣ;;;;;
5069;X682059;ΑΦΑΙΡΕΣΗ ΛΙΘΟΥ ΤΗΣ ΟΥΡΟΔΟΧΟΥ ΚΥΣΤΗΣ, ΚΥΣΤΕΟΣΤΟΜΙΑ ΜΕ ΑΦΑΙΡΕΣΗ ΛΙΘΟΥ, ΧΩΡΙΣ ΑΦΑΙΡΕΣΗ ΚΥΣΤΙΚΟΥ ΑΥΧΕΝΑ;;;;;
5070;X682079;ΕΝΔΟΣΚΟΠΙΚΗ (ΔΙΑΚΥΣΤΙΚΗ) ΟΥΡΗΤΗΡΟΛΙΘΟΤΟΜΙΑ;;;;;
5071;X682089;ΚΥΣΤΕΟΣΤΟΜΙΑ, ΜΕ ΕΞΑΓΩΓΗ ΛΙΘΟΥ ΜΕ ΛΑΒΙΔΑ ΚΑΙ ΚΑΤΑΚΕΡΜΑΤΙΣΜΟ ΤΟΥ ΚΥΣΤΙΚΟΥ ΛΙΘΟΥ;;;;;
5072;X682119;ΠΑΡΟΧΕΤΕΥΣΗ ΑΠΟΣΤΗΜΑΤΟΣ ΠΕΡΙΚΥΣΤΙΚΟΥ Ή ΠΡΟΚΥΣΤΙΚΟΥ ΧΩΡΟΥ;;;;;
5073;X682159;ΠΑΡΑΚΕΝΤΗΣΗ ΚΥΣΤΗΣ· ΜΕ ΒΕΛΟΝΑ;;;;;
5074;X682161;ΠΑΡΑΚΕΝΤΗΣΗ ΚΥΣΤΗΣ· ΜΕ ΤΡΟΚΑΡ Ή ΕΝΔΟΚΑΘΕΤΗΡΑ;;;;;
5075;X682163;ΠΑΡΑΚΕΝΤΗΣΗ ΚΥΣΤΗΣ· ΜΕ ΕΙΣΑΓΩΓΗ ΥΠΕΡΗΒΙΚΟΥ ΚΑΘΕΤΗΡΑ;;;;;
5076;X682959;ΕΚΤΟΜΗ ΚΥΣΤΗΣ Ή ΣΥΡΙΓΓΙΟΥ ΟΥΡΑΧΟΥ ΜΕ Ή ΧΩΡΙΣ ΑΠΟΚΑΤΑΣΤΑΣΗ ΟΜΦΑΛΟΚΗΛΗΣ;;;;;
5077;X682999;ΑΝΕΝΕΡΓΟΣ;;;;;
5078;X683009;ΚΥΣΤΕΟΣΤΟΜΙΑ· ΓΙΑ ΕΞΑΓΩΓΗ ΕΚΚΟΛΠΩΜΑΤΟΣ ΟΥΡΟΔΟΧΟΥ ΚΥΣΤΗΣ, ΜΟΝΟΥ Ή ΠΟΛΛΑΠΛΟΥ (ΞΕΧΩΡΙΣΤΗ ΕΠΕΜΒΑΣΗ);;;;;
5079;X683019;ΚΥΣΤΕΟΣΤΟΜΙΑ· ΓΙΑ ΕΚΤΟΜΗ ΟΓΚΟΥ ΟΥΡΟΔΟΧΟΥ ΚΥΣΤΗΣ;;;;;
5080;X683029;ΚΥΣΤΕΟΣΤΟΜΙΑ ΓΙΑ ΕΚΤΟΜΗ, ΤΟΜΗ Ή ΑΠΟΚΑΤΑΣΤΑΣΗ ΟΥΡΗΤΗΡΟΚΗΛΗΣ;;;;;
5081;X683059;ΚΥΣΤΕΚΤΟΜΗ, ΜΕΡΙΚΗ· ΑΠΛΗ;;;;;
5082;X683069;ΚΥΣΤΕΚΤΟΜΗ, ΜΕΡΙΚΗ· ΕΠΙΠΛΕΓΜΕΝΗ (ΠΧ, ΜΕΤΑΚΤΙΝΙΚΗ ΠΕΡΙΟΔΟΣ, ΠΡΟΗΓΟΥΜΕΝΗ ΕΓΧΕΙΡΙΣΗ, ΔΥΣΚΟΛΗ ΘΕΣΗ);;;;;
5083;X683089;ΚΥΣΤΕΚΤΟΜΗ, ΜΕΡΙΚΗ, ΜΕ ΕΠΑΝΕΜΦΥΤΕΥΣΗ ΟΥΡΗΤΗΡΑ(ΩΝ) ΣΤΗΝ ΟΥΡΟΔΟΧΟ ΚΥΣΤΗ (ΧΕΙΡΟΥΡΓΙΚΗ ΜΕΤΑΦΟΡΑ ΤΟΥ ΟΥΡΗΤΗΡΑ ΣΕ ΔΙΑΦΟΡΕΤΙΚΗ ΘΕΣΗ ΣΤΗΝ ΟΥΡΟΔΟΧΟ ΚΥΣΤΗ);;;;;
5084;X683099;ΚΥΣΤΕΚΤΟΜΗ, ΠΛΗΡΗΣ· (ΞΕΧΩΡΙΣΤΗ ΕΠΕΜΒΑΣΗ);;;;;
5085;X683109;ΚΥΣΤΕΚΤΟΜΗ, ΠΛΗΡΗΣ· ΜΕ ΠΥΕΛΙΚΗ ΛΕΜΦΑΔΕΝΕΚΤΟΜΗ ΑΜΦΩ, ΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΤΩΝ ΕΞΩΤΕΡΙΚΩΝ ΛΑΓΟΝΙΩΝ, ΥΠΟΓΑΣΤΡΙΚΩΝ ΚΑΙ ΘΥΡΟΕΙΔΩΝ ΛΕΜΦΑΔΕΝΩΝ;;;;;
5086;X683119;ΚΥΣΤΕΚΤΟΜΗ, ΠΛΗΡΗΣ, ΜΕ ΑΝΑΣΤΟΜΩΣΗ ΤΟΥ ΟΥΡΗΤΗΡΑ ΜΕ ΤΟ ΣΙΓΜΟΕΙΔΕΣ Ή ΟΥΡΗΤΗΡΟΔΕΡΜΑΤΙΚΕΣ ΑΝΑΣΤΟΜΩΣΕΙΣ·;;;;;
5087;X683129;ΚΥΣΤΕΚΤΟΜΗ, ΠΛΗΡΗΣ, ΜΕ ΑΝΑΣΤΟΜΩΣΗ ΤΟΥ ΟΥΡΗΤΗΡΑ ΜΕ ΤΟ ΣΙΓΜΟΕΙΔΕΣ Ή ΟΥΡΗΤΗΡΟΔΕΡΜΑΤΙΚΕΣ ΑΝΑΣΤΟΜΩΣΕΙΣ ΜΕ ΠΥΕΛΙΚΗ ΛΕΜΦΑΔΕΝΕΚΤΟΜΗ ΑΜΦΩ, ΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΤΩΝ ΕΞΩΤΕΡΙΚΩΝ ΛΑΓΟΝΙΩΝ, ΥΠΟΓΑΣΤΡΙΚΩΝ ΚΑΙ ΘΥΡΟΕΙΔΩΝ ΛΕΜΦΑΔΕΝΩΝ;;;;;
5088;X683139;ΚΥΣΤΕΚΤΟΜΗ, ΠΛΗΡΗΣ, ΜΕ ΣΩΛΗΝΑ ΟΥΡΗΤΗΡΑ-ΕΙΛΕΟΥ Ή ΣΙΓΜΟΕΙΔΟΥΣ ΟΥΡΟΔΟΧΟΥ ΚΥΣΤΗΣ, ΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΑΝΑΣΤΟΜΩΣΗΣ ΕΝΤΕΡΟΥ;;;;;
5089;X683149;ΚΥΣΤΕΚΤΟΜΗ, ΠΛΗΡΗΣ, ΜΕ ΣΩΛΗΝΑ ΟΥΡΗΤΗΡΑ-ΕΙΛΕΟΥ Ή ΣΙΓΜΟΕΙΔΟΥΣ ΟΥΡΟΔΟΧΟΥ ΚΥΣΤΗΣ, ΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΑΝΑΣΤΟΜΩΣΗΣ ΕΝΤΕΡΟΥ· ΜΕ ΠΥΕΛΙΚΗ ΛΕΜΦΑΔΕΝΕΚΤΟΜΗ ΑΜΦΩ,  ΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΤΩΝ ΕΞΩΤΕΡΙΚΩΝ ΛΑΓΟΝΙΩΝ, ΥΠΟΓΑΣΤΡΙΚΩΝ ΚΑΙ ΘΥΡΕΟΕΙΔΩΝ ΛΕΜΦΑΔΕΝΩΝ;;;;;
5090;X683151;ΚΥΣΤΕΚΤΟΜΗ, ΠΛΗΡΗΣ, ΜΕ ΕΓΚΡΑΤΗ EKTROPH, ΟΠΟΙΑΔΗΠΟΤΕ ΑΝΟΙΧΤΗ ΤΕΧΝΙΚΗ, ΜΕ ΧΡΗΣΗ ΟΠΟΙΟΥΔΗΠΟΤΕ ΤΜΗΜΑΤΟΣ ΤΟΥ ΛΕΠΤΟΥ ΚΑΙ/Η ΠΑΧΕΩΣ ΕΝΤΕΡΟΥ ΓΙΑ ΚΑΤΑΣΚΕΥΗ ΝΕΟΚΥΣΤΗΣ;;;;;
5091;X683153;ΠΥΕΛΙΚΗ ΕΞΕΝΤΕΡΩΣΗ, ΠΛΗΡΗΣ, ΓΙΑ ΚΥΣΤΙΚΗ, ΠΡΟΣΤΑΤΙΚΗ Ή ΟΥΡΗΘΡΙΚΗ ΚΑΚΟΗΘΕΙΑ, ΜΕ ΑΦΑΙΡΕΣΗ ΜΕΤΑΜΟΣΧΕΥΣΕΩΝ ΟΥΡΟΔΟΧΟΥ ΚΥΣΤΗΣ ΚΑΙ ΟΥΡΗΤΗΡΑ, ΜΕ Η ΧΩΡΙΣ ΥΣΤΕΡΕΚΤΟΜΗ ΚΑΙ/Η ΚΟΙΛΙΟΠΕΡΙΝΕΪΚΗ ΕΚΤΟΜΗ ΤΟΥ ΟΡΘΟΥ ΕΝΤΕΡΟΥ ΚΑΙ ΚΟΛΟΥ ΚΑΙ ΚΟΛΟΣΤΟΜΙΑ, Ή ΟΠΟΙΟΣΔΗΠΟΤΕ ΣΥΝΔΥΑΣΜΟΣ ΑΥΤΩΝ;;;;;
5092;X683159; ΚΥΣΤΕΟΓΡΑΦΙΑ Ή ΟΥΡΗΘΡΟΚΥΣΤΕΟΓΡΑΦΙΑ ΜΕ ΕΚΚΕΝΩΣΗ;;;;;
5093;X683169;ΑΝΕΝΕΡΓΟΣ;;;;;
5094;X683179;ΑΝΕΝΕΡΓΟΣ;;;;;
5095;X683359;ΚΑΤΑΙΟΝΙΣΜΟΣ ΟΥΡΟΔΟΧΟΥ ΚΥΣΤΗΣ, ΑΠΛΗ, ΠΛΥΣΗ ΚΑΙ/Η ΕΝΣΤΑΛΑΞΗ;;;;;
5096;X683361;ΕΙΣΑΓΩΓΗ ΜΗ-ΜΟΝΙΜΟΥ ΚΑΘΕΤΗΡΑ ΟΥΡΟΔΟΧΟΥ ΚΥΣΤΗΣ (ΠΧ, ΑΠΕΥΘΕΙΑΣ ΚΑΘΕΤΗΡΙΑΣΜΟΣ ΓΙΑ ΥΠΟΛΕΙΜΑ ΟΥΡΩΝ);;;;;
5097;X683363;ΕΙΣΑΓΩΓΗ ΠΡΟΣΩΡΙΝΟΥ ΜΟΝΙΜΟΥ ΚΑΘΕΤΗΡΑ ΟΥΡΟΔΟΧΟΥ ΚΥΣΤΗΣ· ΑΠΛΗ (ΠΧ, FOLEY);;;;;
5098;X683365;ΕΙΣΑΓΩΓΗ ΠΡΟΣΩΡΙΝΟΥ ΜΟΝΙΜΟΥ ΚΑΘΕΤΗΡΑ ΟΥΡΟΔΟΧΟΥ ΚΥΣΤΗΣ· ΕΠΙΠΛΕΓΜΕΝΗ (ΠΧ, ΔΙΑΤΑΡΑΧΗ ΑΝΑΤΟΜΙΑΣ, ΡΗΞΗ ΚΑΘΕΤΗΡΑ/ΑΕΡΟΘΑΛΑΜΟΥ);;;;;
5099;X683369;ΑΛΛΑΓΗ ΣΩΛΗΝΑ ΚΥΣΤΕΟΣΤΟΜΙΑΣ· ΑΠΛΗ;;;;;
5100;X683379;ΑΛΛΑΓΗ ΣΩΛΗΝΑ ΚΥΣΤΕΟΣΤΟΜΙΑΣ· ΕΠΙΠΛΕΓΜΕΝΗ;;;;;
5101;X683389;ΕΝΔΟΣΚΟΠΙΚΗ ΕΓΧΥΣΗ ΕΜΦΥΤΕΥΣΙΜΟΥ ΥΛΙΚΟΥ  ΣΕ ΥΠΟΒΛΕΝΝΟΓΟΝΙΟΥΣ ΙΣΤΟΥΣ ΤΗΣ ΟΥΡΗΘΡΑΣ ΚΑΙ ΤΗΣ ΟΥΡΟΔΟΧΟΥ ΚΥΣΤΗΣ;;;;;
5102;X683399;ΘΕΡΑΠΕΥΤΙΚΕΣ ΕΓΧΥΣΕΙΣ ΟΥΡΟΔΟΧΟΥ ΚΥΣΤΗΣ ;;;;;
5103;X683409;ΑΠΛΟ ΔΙΑΓΡΑΜΜΑ ΚΥΣΤΕΟΜΕΤΡΟΥ (CMG) (ΠΧ, ΝΩΤΙΑΙΟ ΜΑΝΟΜΕΤΡΟ);;;;;
5104;X683411;ΣΥΝΘΕΤΟ ΔΙΑΓΡΑΜΜΑ ΚΥΣΤΕΟΜΕΤΡΟΥ (ΠΧ. ΒΑΘΜΟΝΟΜΗΜΕΝΟΣ ΗΛΕΚΤΡΟΝΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ);;;;;
5105;X683431;ΑΠΛΗ ΟΥΡΟΡΟΟΜΕΤΡΗΣΗ (UFR) (ΠΧ. ΧΡΟΝΟΜΕΤΡΟ ΡΟΗΣ, ΜΗΧΑΝΙΚΟ ΟΥΡΟΡΟΟΜΕΤΡΟ);;;;;
5106;X683441;ΣΥΝΘΕΤΗ ΟΥΡΟΡΟΟΜΕΤΡΗΣΗ (ΠΧ. ΒΑΘΜΟΝΟΜΗΜΕΝΟΣ ΗΛΕΚΤΡΟΝΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ);;;;;
5107;X683503;ΜΕΛΕΤΕΣ ΠΡΟΦΙΛΟΜΕΤΡΙΑΣ (UPP) (ΠΡΟΦΙΛ ΠΙΕΣΗΣ ΚΛΕΙΣΙΜΑΤΟΣ ΟΥΡΗΘΡΑΣ) ΚΑΘΕ ΤΕΧΝΙΚΗ;;;;;
5108;X683527;ΗΛΕΚΤΡΟΜΥΟΓΡΑΦΙΚΗ ΜΕΛΕΤΗ (EMG) ΣΦΙΓΚΤΗΡΑ ΤΟΥ ΠΡΩΚΤΟΥ Ή ΤΗΣ ΟΥΡΗΘΡΑΣ, ΕΚΤΟΣ ΧΡΗΣΗΣ ΒΕΛΟΝΑΣ, ΟΠΟΙΑΔΗΠΟΤΕ ΤΕΧΝΙΚΗ;;;;;
5109;X683529;ΗΛΕΚΤΡΟΜΥΟΓΡΑΦΙΚΗ ΜΕΛΕΤΗ ΒΕΛΟΝΑΣ (EMG) ΣΦΙΓΚΤΗΡΑ ΤΟΥ ΠΡΩΚΤΟΥ Ή ΤΗΣ ΟΥΡΗΘΡΑΣ, ΟΠΟΙΑΔΗΠΟΤΕ ΤΕΧΝΙΚΗ;;;;;
